address,city,zip,price,beds,baths,sqft,lot_size,year_built,days_on_market,price_per_sqft,property_type,sold_date,latitude,longitude,est_units,est_rent_per_unit,est_gross_monthly_rent,est_gross_annual_rent,vacancy_loss,effective_gross_income,est_annual_taxes,grm
2111 Wesley Ave,Evanston,60201,400000,4.0,3.0,1635.0,7000.0,1903.0,,245.0,Multi-Family (2-4 Unit),,42.0562448,-87.6905999,2,2198,4396,52752,3006.86,49745.14,7200.0,7.58
2635 Poplar Ave,Evanston,60201,1500000,6.0,4.5,,10890.0,1878.0,,,Multi-Family (2-4 Unit),January-20-2026,42.0658789,-87.6989924,3,2198,6594,79128,4510.3,74617.7,27000.0,18.96
1835 Darrow Ave,Evanston,60201,299000,5.0,2.0,2128.0,7293.0,1899.0,,141.0,Multi-Family (2-4 Unit),,42.0515001,-87.6971007,3,2198,6594,79128,4510.3,74617.7,5382.0,3.78
1202 Maple Ave,Evanston,60202,1100000,6.0,2.0,,6765.0,1898.0,,,Multi-Family (2-4 Unit),May-1-2026,42.0396116,-87.6855509,3,2198,6594,79128,4510.3,74617.7,19800.0,13.9
827 Sherman Ave,Evanston,60202,774000,5.0,3.0,,3535.0,1911.0,,,Multi-Family (2-4 Unit),August-4-2025,42.0331212,-87.6819237,3,2198,6594,79128,4510.3,74617.7,13932.0,9.78
727 Dobson St,Evanston,60202,830000,9.0,3.0,4752.0,3750.0,1926.0,,175.0,Multi-Family (2-4 Unit),,42.0205445,-87.6817494,4,2198,8792,105504,6013.73,99490.27,14940.0,7.87
518 Hamilton St,Evanston,60202,350000,4.0,2.0,,,,,,Multi-Family (2-4 Unit),January-26-2026,42.0390965,-87.6798213,2,2198,4396,52752,3006.86,49745.14,6300.0,6.63
1521 Lake St,Evanston,60201,450000,4.0,3.0,,3024.0,1899.0,,,Multi-Family (2-4 Unit),February-26-2026,42.0444916,-87.6947353,2,2198,4396,52752,3006.86,49745.14,8100.0,8.53
701 Reba Pl,Evanston,60202,630000,5.0,2.0,,2925.0,1905.0,,,Multi-Family (2-4 Unit),March-12-2026,42.0300607,-87.6805051,3,2198,6594,79128,4510.3,74617.7,11340.0,7.96
1104 Austin St,Evanston,60202,1145000,7.0,5.0,,12012.0,1926.0,,,Multi-Family (2-4 Unit),April-21-2026,42.0253597,-87.6872629,4,2198,8792,105504,6013.73,99490.27,20610.0,10.85
1631 Monroe St,Evanston,60202,870000,9.0,3.0,,4305.0,1927.0,,,Multi-Family (2-4 Unit),August-11-2025,42.0309932,-87.6962931,4,2198,8792,105504,6013.73,99490.27,15660.0,8.25
727 Dobson St,Evanston,60202,830000,9.0,3.0,,3750.0,1926.0,,,Multi-Family (2-4 Unit),June-9-2025,42.0205445,-87.6817494,4,2198,8792,105504,6013.73,99490.27,14940.0,7.87
1730 Madison St,Evanston,60202,635000,4.0,2.0,,4305.0,1947.0,,,Multi-Family (2-4 Unit),June-6-2025,42.0314203,-87.6978103,2,2198,4396,52752,3006.86,49745.14,11430.0,12.04
209 Ridge Ave,Evanston,60202,1300000,14.0,10.0,,,1962.0,,,Multi-Family (5+ Unit),October-8-2025,42.021589,-87.6845421,4,3195,12780,153360,8741.52,144618.48,23400.0,8.48
1317 Brummel St,Evanston,60202,1100000,13.0,7.0,,,1926.0,,,Multi-Family (5+ Unit),October-8-2025,42.0217505,-87.691047,4,3195,12780,153360,8741.52,144618.48,19800.0,7.17
