SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Multi-Family (2-4 Unit),2111 Wesley Ave,Evanston,IL,60201,400000,4,3.0,,1635,7000,1903,,245,,,,,https://www.redfin.com/IL/Evanston/2111-Wesley-Ave-60201/home/13630385,,,N,Y,42.0562448,-87.6905999
PAST SALE,January-20-2026,Multi-Family (2-4 Unit),2635 Poplar Ave,Evanston,IL,60201,1500000,6,4.5,Evanston,,10890,1878,,,,Sold,,,https://www.redfin.com/IL/Evanston/2635-Poplar-Ave-60201/home/13772756,MRED as Distributed by MLS Grid,12521859,N,Y,42.0658789,-87.6989924
PAST SALE,,Multi-Family (2-4 Unit),1835 Darrow Ave,Evanston,IL,60201,299000,5,2.0,,2128,7293,1899,,141,,,,,https://www.redfin.com/IL/Evanston/1835-Darrow-Ave-60201/home/13630708,,,N,Y,42.0515001,-87.6971007
PAST SALE,May-1-2026,Multi-Family (2-4 Unit),1202 Maple Ave,Evanston,IL,60202,1100000,6,2.0,Evanston,,6765,1898,,,,Sold,,,https://www.redfin.com/IL/Evanston/1202-Maple-Ave-60202/home/13579406,MRED as Distributed by MLS Grid,12574934,N,Y,42.0396116,-87.6855509
PAST SALE,August-4-2025,Multi-Family (2-4 Unit),827 Sherman Ave,Evanston,IL,60202,774000,5,3.0,Evanston,,3535,1911,,,,Sold,,,https://www.redfin.com/IL/Evanston/827-Sherman-Ave-60202/home/13578928,MRED as Distributed by MLS Grid,12360905,N,Y,42.0331212,-87.6819237
PAST SALE,,Multi-Family (2-4 Unit),727 Dobson St,Evanston,IL,60202,830000,9,3.0,,4752,3750,1926,,175,,,,,https://www.redfin.com/IL/Evanston/727-Dobson-St-60202/home/13574212,,,N,Y,42.0205445,-87.6817494
PAST SALE,January-26-2026,Multi-Family (2-4 Unit),518 Hamilton St,Evanston,IL,60202,350000,4,2.0,Evanston,,,,,,,Sold,,,https://www.redfin.com/IL/Evanston/518-Hamilton-St-60202/home/13578225,MRED as Distributed by MLS Grid,12537466,N,Y,42.0390965,-87.6798213
PAST SALE,February-26-2026,Multi-Family (2-4 Unit),1521 Lake St,Evanston,IL,60201,450000,4,3.0,Evanston,,3024,1899,,,,Sold,,,https://www.redfin.com/IL/Evanston/1521-Lake-St-60201/home/13628238,MRED as Distributed by MLS Grid,12556623,N,Y,42.0444916,-87.6947353
PAST SALE,March-12-2026,Multi-Family (2-4 Unit),701 Reba Pl,Evanston,IL,60202,630000,5,2.0,Evanston,,2925,1905,,,,Sold,,,https://www.redfin.com/IL/Evanston/701-Reba-Pl-60202/home/13577663,MRED as Distributed by MLS Grid,12566551,N,Y,42.0300607,-87.6805051
