address,price,beds,est_units,est_rent_per_unit,est_gross_annual_rent,gross_annual_rent,vacancy_loss,gross_adjusted_income,property_taxes,insurance,maintenance,utilities,capex_reserve,total_expenses,expense_ratio_pct,noi,loan_amount,down_payment,closing_costs,total_cash_invested,monthly_mortgage,annual_debt_service,annual_cash_flow,monthly_cash_flow,cap_rate,dscr,break_even_ratio,coc_return,principal_paydown_5yr,principal_paydown_10yr,fv_5yr_conservative,appreciation_5yr_conservative,fv_5yr_moderate,appreciation_5yr_moderate,fv_10yr_conservative,appreciation_10yr_conservative,fv_10yr_moderate,appreciation_10yr_moderate,total_return_5yr_conservative,total_return_5yr_moderate,total_return_10yr_conservative,total_return_10yr_moderate,roi_5yr_conservative_pct,roi_5yr_moderate_pct,roi_10yr_conservative_pct,roi_10yr_moderate_pct,cagr_5yr_conservative_pct,cagr_5yr_moderate_pct,cagr_10yr_conservative_pct,cagr_10yr_moderate_pct,cagr_5yr_cash_only_pct,property_label,max_price_for_type,down_pct,fannie_eligible
2111 Wesley Ave,400000,4.0,2,2198,52752,52752.0,3006.86,49745.14,7200.0,2500.0,4220.16,5000.0,2637.6,21557.76,40.87,28187.38,320000.0,80000.0,10000.0,90000.0,2086.16,25033.93,3153.45,262.79,7.05,1.126,1.519,3.5,19431.72,46706.07,475074.52,75074.52,530259.34,130259.34,564239.5,164239.5,702937.43,302937.43,110273.48,165458.3,242480.06,381177.99,122.53,183.84,269.42,423.53,17.35,23.2,13.96,18.0,6.82,Duplex,620000,0.2,True
2635 Poplar Ave,1500000,6.0,3,2198,79128,79128.0,4510.3,74617.7,27000.0,2500.0,6330.24,5000.0,3956.4,44786.64,56.6,29831.06,1275000.0,225000.0,37500.0,262500.0,8312.05,99744.55,-69913.49,-5826.12,1.99,0.299,0.612,-26.63,77423.24,186094.5,1781529.46,281529.46,1988472.54,488472.54,2115898.14,615898.14,2636015.36,1136015.36,9385.25,216328.33,102857.74,622974.96,3.58,82.41,39.18,237.32,0.71,12.77,3.36,12.93,0.0,3-Flat,800000,0.15,False
1202 Maple Ave,1100000,6.0,3,2198,79128,79128.0,4510.3,74617.7,19800.0,2500.0,6330.24,5000.0,3956.4,37586.64,47.5,37031.06,935000.0,165000.0,27500.0,192500.0,6095.5,73146.01,-36114.94,-3009.58,3.37,0.506,0.829,-18.76,56777.05,136469.3,1306454.94,206454.94,1458213.19,358213.19,1551658.64,451658.64,1933077.93,833077.93,82657.28,234415.53,226978.52,608397.81,42.94,121.77,117.91,316.05,7.41,17.27,8.1,15.32,-18.62,3-Flat,800000,0.15,False
827 Sherman Ave,774000,5.0,3,2198,79128,79128.0,4510.3,74617.7,13932.0,2500.0,6330.24,5000.0,3956.4,31718.64,40.09,42899.06,657900.0,116100.0,19350.0,135450.0,4289.02,51468.19,-8569.13,-714.09,5.54,0.834,1.165,-6.33,39950.39,96024.76,919269.2,145269.2,1026051.83,252051.83,1091803.44,317803.44,1360183.92,586183.92,142373.96,249156.59,328136.94,596517.42,105.11,183.95,242.26,440.4,15.45,23.21,13.09,18.38,-0.43,3-Flat,800000,0.15,False
727 Dobson St,830000,9.0,4,2198,105504,105504.0,6013.73,99490.27,14940.0,2500.0,8440.32,5000.0,5275.2,36155.52,34.27,63334.75,705500.0,124500.0,20750.0,145250.0,4599.33,55191.99,8142.77,678.56,7.63,1.148,1.453,5.61,42840.86,102972.29,985779.63,155779.63,1100288.14,270288.14,1170796.97,340796.97,1458595.16,628595.16,239334.32,353842.83,525196.92,812995.11,164.77,243.61,361.58,559.72,21.5,28.0,16.53,20.76,9.51,4-Unit,900000,0.15,True
518 Hamilton St,350000,4.0,2,2198,52752,52752.0,3006.86,49745.14,6300.0,2500.0,4220.16,5000.0,2637.6,20657.76,39.16,29087.38,280000.0,70000.0,8750.0,78750.0,1825.39,21904.69,7182.69,598.56,8.31,1.328,1.718,9.12,17002.75,40867.81,415690.21,65690.21,463976.93,113976.93,493709.57,143709.57,615070.25,265070.25,118606.41,166893.13,256404.28,377764.96,150.61,211.93,325.59,479.7,20.17,25.55,15.58,19.21,10.83,Duplex,620000,0.2,True
1521 Lake St,450000,4.0,2,2198,52752,52752.0,3006.86,49745.14,8100.0,2500.0,4220.16,5000.0,2637.6,22457.76,42.57,27287.38,360000.0,90000.0,11250.0,101250.0,2346.93,28163.17,-875.79,-72.98,6.06,0.969,1.361,-0.86,21860.68,52544.33,534458.84,84458.84,596541.76,146541.76,634769.44,184769.44,790804.61,340804.61,101940.56,164023.48,228555.85,384591.02,100.68,162.0,225.73,379.84,14.95,21.24,12.53,16.98,3.24,Duplex,620000,0.2,False
701 Reba Pl,630000,5.0,3,2198,79128,79128.0,4510.3,74617.7,11340.0,2500.0,6330.24,5000.0,3956.4,29126.64,36.81,45491.06,535500.0,94500.0,15750.0,110250.0,3491.06,41892.71,3598.35,299.86,7.22,1.086,1.42,3.26,32517.76,78159.69,748242.37,118242.37,835158.47,205158.47,888677.22,258677.22,1107126.45,477126.45,168751.89,255667.99,372820.42,591269.65,153.06,231.9,338.16,536.3,20.41,27.12,15.92,20.33,7.83,3-Flat,800000,0.15,True
1104 Austin St,1145000,7.0,4,2198,105504,105504.0,6013.73,99490.27,20610.0,2500.0,8440.32,5000.0,5275.2,41825.52,39.64,57664.75,973250.0,171750.0,28625.0,200375.0,6344.86,76138.34,-18473.59,-1539.47,5.04,0.757,1.063,-9.22,59099.74,142052.13,1359900.82,214900.82,1517867.37,372867.37,1615135.58,470135.58,2012158.39,867158.39,181632.61,339599.16,427451.8,824474.61,90.65,169.48,213.33,411.47,13.77,21.93,12.1,17.73,-3.57,4-Unit,900000,0.15,False
1631 Monroe St,870000,9.0,4,2198,105504,105504.0,6013.73,99490.27,15660.0,2500.0,8440.32,5000.0,5275.2,36875.52,34.95,62614.75,739500.0,130500.0,21750.0,152250.0,4820.99,57851.84,4762.91,396.91,7.2,1.082,1.388,3.13,44905.48,107934.81,1033287.09,163287.09,1153314.07,283314.07,1227220.92,357220.92,1528888.91,658888.91,232007.12,352034.1,512784.84,814452.83,152.39,231.22,336.8,534.94,20.34,27.06,15.89,20.3,7.73,4-Unit,900000,0.15,True
