,5.50%,5.75%,6.00%,6.25%,6.50%,6.75%,7.00%,7.25%,7.50%,7.75%,8.00%,8.25%,8.50%,8.75%,9.00%
"$300,000",2.96,2.88,2.803,2.73,2.659,2.591,2.526,2.464,2.404,2.346,2.291,2.237,2.186,2.136,2.089
"$350,000",2.493,2.425,2.361,2.299,2.239,2.182,2.128,2.075,2.024,1.976,1.929,1.884,1.841,1.799,1.759
"$400,000",2.142,2.084,2.029,1.976,1.925,1.876,1.828,1.783,1.74,1.698,1.658,1.619,1.582,1.546,1.512
"$450,000",1.87,1.819,1.771,1.724,1.68,1.637,1.596,1.556,1.518,1.482,1.447,1.413,1.381,1.35,1.319
"$500,000",1.652,1.607,1.564,1.523,1.484,1.446,1.41,1.375,1.341,1.309,1.278,1.248,1.22,1.192,1.166
"$550,000",1.473,1.434,1.395,1.359,1.324,1.29,1.257,1.226,1.196,1.168,1.14,1.114,1.088,1.063,1.04
"$600,000",1.325,1.289,1.255,1.222,1.19,1.16,1.131,1.103,1.076,1.05,1.025,1.001,0.978,0.956,0.935
"$650,000",1.199,1.166,1.135,1.106,1.077,1.05,1.023,0.998,0.974,0.95,0.928,0.906,0.885,0.865,0.846
"$700,000",1.091,1.062,1.033,1.006,0.98,0.955,0.931,0.908,0.886,0.865,0.844,0.825,0.806,0.787,0.77
"$750,000",0.998,0.971,0.945,0.92,0.896,0.873,0.851,0.83,0.81,0.791,0.772,0.754,0.737,0.72,0.704
"$800,000",0.916,0.891,0.867,0.845,0.823,0.802,0.782,0.762,0.744,0.726,0.709,0.692,0.676,0.661,0.646
"$850,000",0.844,0.821,0.799,0.778,0.758,0.739,0.72,0.702,0.685,0.669,0.653,0.638,0.623,0.609,0.595
"$900,000",0.78,0.758,0.738,0.719,0.7,0.682,0.665,0.649,0.633,0.618,0.603,0.589,0.576,0.563,0.55
