,5.50%,5.75%,6.00%,6.25%,6.50%,6.75%,7.00%,7.25%,7.50%,7.75%,8.00%,8.25%,8.50%,8.75%,9.00%
"$300,000",1.834,1.784,1.737,1.691,1.647,1.605,1.565,1.526,1.489,1.453,1.419,1.386,1.354,1.324,1.294
"$350,000",1.525,1.483,1.444,1.406,1.37,1.335,1.301,1.269,1.238,1.208,1.18,1.152,1.126,1.1,1.076
"$400,000",1.293,1.258,1.224,1.192,1.161,1.132,1.103,1.076,1.05,1.025,1.0,0.977,0.955,0.933,0.912
"$450,000",1.112,1.082,1.054,1.026,0.999,0.974,0.949,0.926,0.903,0.882,0.861,0.841,0.821,0.803,0.785
"$500,000",0.968,0.942,0.917,0.893,0.87,0.848,0.826,0.806,0.786,0.767,0.749,0.732,0.715,0.699,0.683
"$550,000",0.85,0.827,0.805,0.784,0.764,0.744,0.726,0.708,0.69,0.674,0.658,0.643,0.628,0.614,0.6
"$600,000",0.752,0.731,0.712,0.693,0.675,0.658,0.642,0.626,0.61,0.596,0.582,0.568,0.555,0.543,0.531
"$650,000",0.669,0.65,0.633,0.617,0.601,0.585,0.571,0.556,0.543,0.53,0.517,0.505,0.494,0.483,0.472
"$700,000",0.597,0.581,0.566,0.551,0.536,0.523,0.51,0.497,0.485,0.473,0.462,0.451,0.441,0.431,0.421
"$750,000",0.535,0.521,0.507,0.494,0.481,0.469,0.457,0.446,0.435,0.424,0.414,0.405,0.395,0.386,0.378
"$800,000",0.481,0.468,0.456,0.444,0.432,0.421,0.411,0.401,0.391,0.381,0.372,0.364,0.355,0.347,0.34
"$850,000",0.434,0.422,0.411,0.4,0.389,0.38,0.37,0.361,0.352,0.344,0.335,0.328,0.32,0.313,0.306
"$900,000",0.391,0.381,0.37,0.361,0.351,0.342,0.334,0.326,0.318,0.31,0.303,0.296,0.289,0.282,0.276
